ds,Ward,y
2021-11-01,Colindale North Ward,10
2021-12-01,Colindale North Ward,10
2022-01-01,Colindale North Ward,13
2022-02-01,Colindale North Ward,12
2022-03-01,Colindale North Ward,11
2022-04-01,Colindale North Ward,9
2022-05-01,Colindale North Ward,10
2022-06-01,Colindale North Ward,10
2022-07-01,Colindale North Ward,15
2022-08-01,Colindale North Ward,9
2022-09-01,Colindale North Ward,12
2022-10-01,Colindale North Ward,8
2022-11-01,Colindale North Ward,9
2022-12-01,Colindale North Ward,11
2023-01-01,Colindale North Ward,8
2023-02-01,Colindale North Ward,8
2010-12-01,Colindale South Ward,14
2011-01-01,Colindale South Ward,9
2011-02-01,Colindale South Ward,9
2011-03-01,Colindale South Ward,9
2011-04-01,Colindale South Ward,6
2011-05-01,Colindale South Ward,7
2011-06-01,Colindale South Ward,9
2011-07-01,Colindale South Ward,14
2011-08-01,Colindale South Ward,11
2011-09-01,Colindale South Ward,12
2011-10-01,Colindale South Ward,21
2011-11-01,Colindale South Ward,10
2011-12-01,Colindale South Ward,11
2012-01-01,Colindale South Ward,14
2012-02-01,Colindale South Ward,10
2012-03-01,Colindale South Ward,8
2012-04-01,Colindale South Ward,9
2012-05-01,Colindale South Ward,11
2012-06-01,Colindale South Ward,9
2012-07-01,Colindale South Ward,10
2012-08-01,Colindale South Ward,9
2012-09-01,Colindale South Ward,13
2012-10-01,Colindale South Ward,17
2012-11-01,Colindale South Ward,18
2012-12-01,Colindale South Ward,12
2013-01-01,Colindale South Ward,15
2013-02-01,Colindale South Ward,18
2013-03-01,Colindale South Ward,11
2013-04-01,Colindale South Ward,12
2013-05-01,Colindale South Ward,11
2013-06-01,Colindale South Ward,9
2013-07-01,Colindale South Ward,6
2013-08-01,Colindale South Ward,7
2013-09-01,Colindale South Ward,7
2013-10-01,Colindale South Ward,16
2013-11-01,Colindale South Ward,14
2013-12-01,Colindale South Ward,9
2014-01-01,Colindale South Ward,8
2014-02-01,Colindale South Ward,9
2014-03-01,Colindale South Ward,14
2014-04-01,Colindale South Ward,10
2014-05-01,Colindale South Ward,9
2014-06-01,Colindale South Ward,11
2014-07-01,Colindale South Ward,7
2014-08-01,Colindale South Ward,9
2014-09-01,Colindale South Ward,12
2014-10-01,Colindale South Ward,8
2014-11-01,Colindale South Ward,14
2014-12-01,Colindale South Ward,12
2015-01-01,Colindale South Ward,10
2015-02-01,Colindale South Ward,11
2015-03-01,Colindale South Ward,8
2015-04-01,Colindale South Ward,12
2015-05-01,Colindale South Ward,14
2015-06-01,Colindale South Ward,10
2015-07-01,Colindale South Ward,13
2015-08-01,Colindale South Ward,8
2015-09-01,Colindale South Ward,10
2015-10-01,Colindale South Ward,11
2015-11-01,Colindale South Ward,11
2015-12-01,Colindale South Ward,13
2016-01-01,Colindale South Ward,12
2016-02-01,Colindale South Ward,8
2016-03-01,Colindale South Ward,9
2016-04-01,Colindale South Ward,12
2016-05-01,Colindale South Ward,11
2016-06-01,Colindale South Ward,18
2016-07-01,Colindale South Ward,11
2016-08-01,Colindale South Ward,11
2016-09-01,Colindale South Ward,8
2016-10-01,Colindale South Ward,10
2016-11-01,Colindale South Ward,10
2016-12-01,Colindale South Ward,11
2017-01-01,Colindale South Ward,11
2017-02-01,Colindale South Ward,7
2017-03-01,Colindale South Ward,12
2017-04-01,Colindale South Ward,17
2017-05-01,Colindale South Ward,12
2017-06-01,Colindale South Ward,11
2017-07-01,Colindale South Ward,9
2017-08-01,Colindale South Ward,8
2017-09-01,Colindale South Ward,14
2017-10-01,Colindale South Ward,10
2017-11-01,Colindale South Ward,8
2017-12-01,Colindale South Ward,15
2018-01-01,Colindale South Ward,11
2018-02-01,Colindale South Ward,11
2018-03-01,Colindale South Ward,10
2018-04-01,Colindale South Ward,9
2018-05-01,Colindale South Ward,15
2018-06-01,Colindale South Ward,10
2018-07-01,Colindale South Ward,10
2018-08-01,Colindale South Ward,13
2018-09-01,Colindale South Ward,12
2018-10-01,Colindale South Ward,10
2018-11-01,Colindale South Ward,9
2018-12-01,Colindale South Ward,9
2019-01-01,Colindale South Ward,11
2019-02-01,Colindale South Ward,9
2019-03-01,Colindale South Ward,11
2019-04-01,Colindale South Ward,9
2019-05-01,Colindale South Ward,12
2019-06-01,Colindale South Ward,8
2019-07-01,Colindale South Ward,12
2019-08-01,Colindale South Ward,14
2019-09-01,Colindale South Ward,9
2019-10-01,Colindale South Ward,11
2019-11-01,Colindale South Ward,12
2019-12-01,Colindale South Ward,13
2020-01-01,Colindale South Ward,12
2020-02-01,Colindale South Ward,9
2020-03-01,Colindale South Ward,8
2020-04-01,Colindale South Ward,9
2020-05-01,Colindale South Ward,10
2020-06-01,Colindale South Ward,9
2020-07-01,Colindale South Ward,9
2020-08-01,Colindale South Ward,9
2020-09-01,Colindale South Ward,10
2020-10-01,Colindale South Ward,12
2020-11-01,Colindale South Ward,9
2020-12-01,Colindale South Ward,10
2021-01-01,Colindale South Ward,12
2021-02-01,Colindale South Ward,9
2021-03-01,Colindale South Ward,8
2021-04-01,Colindale South Ward,9
2021-05-01,Colindale South Ward,10
2021-06-01,Colindale South Ward,9
2021-07-01,Colindale South Ward,9
2021-08-01,Colindale South Ward,9
2021-09-01,Colindale South Ward,10
2021-10-01,Colindale South Ward,12
2021-11-01,Colindale South Ward,9
2021-12-01,Colindale South Ward,10
2022-01-01,Colindale South Ward,21
2022-02-01,Colindale South Ward,12
2022-03-01,Colindale South Ward,18
2022-04-01,Colindale South Ward,15
2022-05-01,Colindale South Ward,21
2022-06-01,Colindale South Ward,14
2022-07-01,Colindale South Ward,18
2022-08-01,Colindale South Ward,13
2022-09-01,Colindale South Ward,14
2022-10-01,Colindale South Ward,17
2022-11-01,Colindale South Ward,11
2022-12-01,Colindale South Ward,11
2023-01-01,Colindale South Ward,16
2023-02-01,Colindale South Ward,14
2010-12-01,Cricklewood Ward,14
2011-01-01,Cricklewood Ward,13
2011-02-01,Cricklewood Ward,19
2011-03-01,Cricklewood Ward,24
2011-04-01,Cricklewood Ward,24
2011-05-01,Cricklewood Ward,15
2011-06-01,Cricklewood Ward,20
2011-07-01,Cricklewood Ward,15
2011-08-01,Cricklewood Ward,12
2011-09-01,Cricklewood Ward,23
2011-10-01,Cricklewood Ward,13
2011-11-01,Cricklewood Ward,17
2011-12-01,Cricklewood Ward,18
2012-01-01,Cricklewood Ward,12
2012-02-01,Cricklewood Ward,9
2012-03-01,Cricklewood Ward,13
2012-04-01,Cricklewood Ward,11
2012-05-01,Cricklewood Ward,11
2012-06-01,Cricklewood Ward,12
2012-07-01,Cricklewood Ward,13
2012-08-01,Cricklewood Ward,9
2012-09-01,Cricklewood Ward,8
2012-10-01,Cricklewood Ward,10
2012-11-01,Cricklewood Ward,13
2012-12-01,Cricklewood Ward,11
2013-01-01,Cricklewood Ward,15
2013-02-01,Cricklewood Ward,13
2013-03-01,Cricklewood Ward,13
2013-04-01,Cricklewood Ward,15
2013-05-01,Cricklewood Ward,14
2013-06-01,Cricklewood Ward,14
2013-07-01,Cricklewood Ward,11
2013-08-01,Cricklewood Ward,8
2013-09-01,Cricklewood Ward,10
2013-10-01,Cricklewood Ward,14
2013-11-01,Cricklewood Ward,17
2013-12-01,Cricklewood Ward,17
2014-01-01,Cricklewood Ward,8
2014-02-01,Cricklewood Ward,10
2014-03-01,Cricklewood Ward,12
2014-04-01,Cricklewood Ward,19
2014-05-01,Cricklewood Ward,12
2014-06-01,Cricklewood Ward,8
2014-07-01,Cricklewood Ward,13
2014-08-01,Cricklewood Ward,10
2014-09-01,Cricklewood Ward,10
2014-10-01,Cricklewood Ward,14
2014-11-01,Cricklewood Ward,15
2014-12-01,Cricklewood Ward,20
2015-01-01,Cricklewood Ward,19
2015-02-01,Cricklewood Ward,7
2015-03-01,Cricklewood Ward,15
2015-04-01,Cricklewood Ward,12
2015-05-01,Cricklewood Ward,8
2015-06-01,Cricklewood Ward,10
2015-07-01,Cricklewood Ward,10
2015-08-01,Cricklewood Ward,12
2015-09-01,Cricklewood Ward,10
2015-10-01,Cricklewood Ward,9
2015-11-01,Cricklewood Ward,11
2015-12-01,Cricklewood Ward,11
2016-01-01,Cricklewood Ward,9
2016-02-01,Cricklewood Ward,11
2016-03-01,Cricklewood Ward,12
2016-04-01,Cricklewood Ward,9
2016-05-01,Cricklewood Ward,16
2016-06-01,Cricklewood Ward,13
2016-07-01,Cricklewood Ward,14
2016-08-01,Cricklewood Ward,6
2016-09-01,Cricklewood Ward,9
2016-10-01,Cricklewood Ward,11
2016-11-01,Cricklewood Ward,6
2016-12-01,Cricklewood Ward,11
2017-01-01,Cricklewood Ward,7
2017-02-01,Cricklewood Ward,13
2017-03-01,Cricklewood Ward,9
2017-04-01,Cricklewood Ward,8
2017-05-01,Cricklewood Ward,7
2017-06-01,Cricklewood Ward,10
2017-07-01,Cricklewood Ward,8
2017-08-01,Cricklewood Ward,15
2017-09-01,Cricklewood Ward,7
2017-10-01,Cricklewood Ward,10
2017-11-01,Cricklewood Ward,10
2017-12-01,Cricklewood Ward,13
2018-01-01,Cricklewood Ward,7
2018-02-01,Cricklewood Ward,13
2018-03-01,Cricklewood Ward,13
2018-04-01,Cricklewood Ward,8
2018-05-01,Cricklewood Ward,14
2018-06-01,Cricklewood Ward,8
2018-07-01,Cricklewood Ward,11
2018-08-01,Cricklewood Ward,11
2018-09-01,Cricklewood Ward,11
2018-10-01,Cricklewood Ward,13
2018-11-01,Cricklewood Ward,10
2018-12-01,Cricklewood Ward,11
2019-01-01,Cricklewood Ward,12
2019-02-01,Cricklewood Ward,24
2019-03-01,Cricklewood Ward,12
2019-04-01,Cricklewood Ward,11
2019-05-01,Cricklewood Ward,16
2019-06-01,Cricklewood Ward,18
2019-07-01,Cricklewood Ward,11
2019-08-01,Cricklewood Ward,9
2019-09-01,Cricklewood Ward,6
2019-10-01,Cricklewood Ward,8
2019-11-01,Cricklewood Ward,12
2019-12-01,Cricklewood Ward,10
2020-01-01,Cricklewood Ward,10
2020-02-01,Cricklewood Ward,10
2020-03-01,Cricklewood Ward,12
2020-04-01,Cricklewood Ward,11
2020-05-01,Cricklewood Ward,10
2020-06-01,Cricklewood Ward,10
2020-07-01,Cricklewood Ward,8
2020-08-01,Cricklewood Ward,8
2020-09-01,Cricklewood Ward,9
2020-10-01,Cricklewood Ward,9
2020-11-01,Cricklewood Ward,11
2020-12-01,Cricklewood Ward,12
2021-01-01,Cricklewood Ward,10
2021-02-01,Cricklewood Ward,10
2021-03-01,Cricklewood Ward,12
2021-04-01,Cricklewood Ward,11
2021-05-01,Cricklewood Ward,10
2021-06-01,Cricklewood Ward,10
2021-07-01,Cricklewood Ward,8
2021-08-01,Cricklewood Ward,8
2021-09-01,Cricklewood Ward,9
2021-10-01,Cricklewood Ward,9
2021-11-01,Cricklewood Ward,11
2021-12-01,Cricklewood Ward,12
2022-01-01,Cricklewood Ward,10
2022-02-01,Cricklewood Ward,14
2022-03-01,Cricklewood Ward,8
2022-04-01,Cricklewood Ward,9
2022-05-01,Cricklewood Ward,13
2022-06-01,Cricklewood Ward,11
2022-07-01,Cricklewood Ward,8
2022-08-01,Cricklewood Ward,7
2022-09-01,Cricklewood Ward,11
2022-10-01,Cricklewood Ward,13
2022-11-01,Cricklewood Ward,14
2022-12-01,Cricklewood Ward,14
2023-01-01,Cricklewood Ward,11
2023-02-01,Cricklewood Ward,13
2010-12-01,East Barnet Ward,20
2011-01-01,East Barnet Ward,22
2011-02-01,East Barnet Ward,13
2011-03-01,East Barnet Ward,16
2011-04-01,East Barnet Ward,19
2011-05-01,East Barnet Ward,23
2011-06-01,East Barnet Ward,19
2011-07-01,East Barnet Ward,20
2011-08-01,East Barnet Ward,19
2011-09-01,East Barnet Ward,20
2011-10-01,East Barnet Ward,23
2011-11-01,East Barnet Ward,17
2011-12-01,East Barnet Ward,25
2012-01-01,East Barnet Ward,28
2012-02-01,East Barnet Ward,31
2012-03-01,East Barnet Ward,26
2012-04-01,East Barnet Ward,20
2012-05-01,East Barnet Ward,31
2012-06-01,East Barnet Ward,34
2012-07-01,East Barnet Ward,22
2012-08-01,East Barnet Ward,23
2012-09-01,East Barnet Ward,17
2012-10-01,East Barnet Ward,27
2012-11-01,East Barnet Ward,30
2012-12-01,East Barnet Ward,25
2013-01-01,East Barnet Ward,21
2013-02-01,East Barnet Ward,23
2013-03-01,East Barnet Ward,19
2013-04-01,East Barnet Ward,21
2013-05-01,East Barnet Ward,19
2013-06-01,East Barnet Ward,18
2013-07-01,East Barnet Ward,17
2013-08-01,East Barnet Ward,16
2013-09-01,East Barnet Ward,17
2013-10-01,East Barnet Ward,20
2013-11-01,East Barnet Ward,17
2013-12-01,East Barnet Ward,24
2014-01-01,East Barnet Ward,18
2014-02-01,East Barnet Ward,20
2014-03-01,East Barnet Ward,22
2014-04-01,East Barnet Ward,18
2014-05-01,East Barnet Ward,17
2014-06-01,East Barnet Ward,17
2014-07-01,East Barnet Ward,20
2014-08-01,East Barnet Ward,25
2014-09-01,East Barnet Ward,21
2014-10-01,East Barnet Ward,20
2014-11-01,East Barnet Ward,21
2014-12-01,East Barnet Ward,20
2015-01-01,East Barnet Ward,19
2015-02-01,East Barnet Ward,20
2015-03-01,East Barnet Ward,15
2015-04-01,East Barnet Ward,17
2015-05-01,East Barnet Ward,15
2015-06-01,East Barnet Ward,17
2015-07-01,East Barnet Ward,17
2015-08-01,East Barnet Ward,18
2015-09-01,East Barnet Ward,25
2015-10-01,East Barnet Ward,30
2015-11-01,East Barnet Ward,19
2015-12-01,East Barnet Ward,16
2016-01-01,East Barnet Ward,16
2016-02-01,East Barnet Ward,17
2016-03-01,East Barnet Ward,23
2016-04-01,East Barnet Ward,18
2016-05-01,East Barnet Ward,20
2016-06-01,East Barnet Ward,16
2016-07-01,East Barnet Ward,17
2016-08-01,East Barnet Ward,17
2016-09-01,East Barnet Ward,15
2016-10-01,East Barnet Ward,22
2016-11-01,East Barnet Ward,16
2016-12-01,East Barnet Ward,12
2017-01-01,East Barnet Ward,18
2017-02-01,East Barnet Ward,13
2017-03-01,East Barnet Ward,13
2017-04-01,East Barnet Ward,14
2017-05-01,East Barnet Ward,16
2017-06-01,East Barnet Ward,14
2017-07-01,East Barnet Ward,16
2017-08-01,East Barnet Ward,20
2017-09-01,East Barnet Ward,17
2017-10-01,East Barnet Ward,15
2017-11-01,East Barnet Ward,20
2017-12-01,East Barnet Ward,16
2018-01-01,East Barnet Ward,23
2018-02-01,East Barnet Ward,20
2018-03-01,East Barnet Ward,23
2018-04-01,East Barnet Ward,18
2018-05-01,East Barnet Ward,16
2018-06-01,East Barnet Ward,14
2018-07-01,East Barnet Ward,15
2018-08-01,East Barnet Ward,21
2018-09-01,East Barnet Ward,15
2018-10-01,East Barnet Ward,21
2018-11-01,East Barnet Ward,18
2018-12-01,East Barnet Ward,13
2019-01-01,East Barnet Ward,19
2019-02-01,East Barnet Ward,20
2019-03-01,East Barnet Ward,16
2019-04-01,East Barnet Ward,19
2019-05-01,East Barnet Ward,16
2019-06-01,East Barnet Ward,14
2019-07-01,East Barnet Ward,17
2019-08-01,East Barnet Ward,17
2019-09-01,East Barnet Ward,17
2019-10-01,East Barnet Ward,18
2019-11-01,East Barnet Ward,19
2019-12-01,East Barnet Ward,22
2020-01-01,East Barnet Ward,17
2020-02-01,East Barnet Ward,16
2020-03-01,East Barnet Ward,15
2020-04-01,East Barnet Ward,14
2020-05-01,East Barnet Ward,14
2020-06-01,East Barnet Ward,13
2020-07-01,East Barnet Ward,14
2020-08-01,East Barnet Ward,17
2020-09-01,East Barnet Ward,14
2020-10-01,East Barnet Ward,18
2020-11-01,East Barnet Ward,17
2020-12-01,East Barnet Ward,17
2021-01-01,East Barnet Ward,17
2021-02-01,East Barnet Ward,16
2021-03-01,East Barnet Ward,15
2021-04-01,East Barnet Ward,14
2021-05-01,East Barnet Ward,14
2021-06-01,East Barnet Ward,13
2021-07-01,East Barnet Ward,14
2021-08-01,East Barnet Ward,17
2021-09-01,East Barnet Ward,14
2021-10-01,East Barnet Ward,18
2021-11-01,East Barnet Ward,17
2021-12-01,East Barnet Ward,17
2022-01-01,East Barnet Ward,15
2022-02-01,East Barnet Ward,15
2022-03-01,East Barnet Ward,15
2022-04-01,East Barnet Ward,17
2022-05-01,East Barnet Ward,13
2022-06-01,East Barnet Ward,18
2022-07-01,East Barnet Ward,18
2022-08-01,East Barnet Ward,16
2022-09-01,East Barnet Ward,14
2022-10-01,East Barnet Ward,18
2022-11-01,East Barnet Ward,15
2022-12-01,East Barnet Ward,17
2023-01-01,East Barnet Ward,14
2023-02-01,East Barnet Ward,14
2010-12-01,East Finchley Ward,21
2011-01-01,East Finchley Ward,20
2011-02-01,East Finchley Ward,19
2011-03-01,East Finchley Ward,21
2011-04-01,East Finchley Ward,12
2011-05-01,East Finchley Ward,19
2011-06-01,East Finchley Ward,21
2011-07-01,East Finchley Ward,19
2011-08-01,East Finchley Ward,15
2011-09-01,East Finchley Ward,15
2011-10-01,East Finchley Ward,19
2011-11-01,East Finchley Ward,21
2011-12-01,East Finchley Ward,23
2012-01-01,East Finchley Ward,19
2012-02-01,East Finchley Ward,19
2012-03-01,East Finchley Ward,20
2012-04-01,East Finchley Ward,20
2012-05-01,East Finchley Ward,21
2012-06-01,East Finchley Ward,21
2012-07-01,East Finchley Ward,13
2012-08-01,East Finchley Ward,24
2012-09-01,East Finchley Ward,25
2012-10-01,East Finchley Ward,18
2012-11-01,East Finchley Ward,24
2012-12-01,East Finchley Ward,13
2013-01-01,East Finchley Ward,17
2013-02-01,East Finchley Ward,16
2013-03-01,East Finchley Ward,14
2013-04-01,East Finchley Ward,21
2013-05-01,East Finchley Ward,16
2013-06-01,East Finchley Ward,15
2013-07-01,East Finchley Ward,21
2013-08-01,East Finchley Ward,14
2013-09-01,East Finchley Ward,16
2013-10-01,East Finchley Ward,26
2013-11-01,East Finchley Ward,19
2013-12-01,East Finchley Ward,20
2014-01-01,East Finchley Ward,17
2014-02-01,East Finchley Ward,14
2014-03-01,East Finchley Ward,23
2014-04-01,East Finchley Ward,21
2014-05-01,East Finchley Ward,12
2014-06-01,East Finchley Ward,15
2014-07-01,East Finchley Ward,15
2014-08-01,East Finchley Ward,14
2014-09-01,East Finchley Ward,20
2014-10-01,East Finchley Ward,15
2014-11-01,East Finchley Ward,18
2014-12-01,East Finchley Ward,25
2015-01-01,East Finchley Ward,18
2015-02-01,East Finchley Ward,19
2015-03-01,East Finchley Ward,17
2015-04-01,East Finchley Ward,14
2015-05-01,East Finchley Ward,13
2015-06-01,East Finchley Ward,13
2015-07-01,East Finchley Ward,16
2015-08-01,East Finchley Ward,16
2015-09-01,East Finchley Ward,17
2015-10-01,East Finchley Ward,20
2015-11-01,East Finchley Ward,30
2015-12-01,East Finchley Ward,18
2016-01-01,East Finchley Ward,20
2016-02-01,East Finchley Ward,19
2016-03-01,East Finchley Ward,17
2016-04-01,East Finchley Ward,17
2016-05-01,East Finchley Ward,16
2016-06-01,East Finchley Ward,14
2016-07-01,East Finchley Ward,13
2016-08-01,East Finchley Ward,17
2016-09-01,East Finchley Ward,13
2016-10-01,East Finchley Ward,14
2016-11-01,East Finchley Ward,16
2016-12-01,East Finchley Ward,16
2017-01-01,East Finchley Ward,14
2017-02-01,East Finchley Ward,16
2017-03-01,East Finchley Ward,13
2017-04-01,East Finchley Ward,16
2017-05-01,East Finchley Ward,18
2017-06-01,East Finchley Ward,18
2017-07-01,East Finchley Ward,15
2017-08-01,East Finchley Ward,15
2017-09-01,East Finchley Ward,16
2017-10-01,East Finchley Ward,16
2017-11-01,East Finchley Ward,20
2017-12-01,East Finchley Ward,12
2018-01-01,East Finchley Ward,16
2018-02-01,East Finchley Ward,16
2018-03-01,East Finchley Ward,13
2018-04-01,East Finchley Ward,17
2018-05-01,East Finchley Ward,28
2018-06-01,East Finchley Ward,16
2018-07-01,East Finchley Ward,17
2018-08-01,East Finchley Ward,14
2018-09-01,East Finchley Ward,13
2018-10-01,East Finchley Ward,24
2018-11-01,East Finchley Ward,17
2018-12-01,East Finchley Ward,17
2019-01-01,East Finchley Ward,14
2019-02-01,East Finchley Ward,17
2019-03-01,East Finchley Ward,16
2019-04-01,East Finchley Ward,14
2019-05-01,East Finchley Ward,14
2019-06-01,East Finchley Ward,16
2019-07-01,East Finchley Ward,14
2019-08-01,East Finchley Ward,14
2019-09-01,East Finchley Ward,21
2019-10-01,East Finchley Ward,13
2019-11-01,East Finchley Ward,18
2019-12-01,East Finchley Ward,24
2020-01-01,East Finchley Ward,13
2020-02-01,East Finchley Ward,13
2020-03-01,East Finchley Ward,15
2020-04-01,East Finchley Ward,14
2020-05-01,East Finchley Ward,15
2020-06-01,East Finchley Ward,13
2020-07-01,East Finchley Ward,11
2020-08-01,East Finchley Ward,13
2020-09-01,East Finchley Ward,14
2020-10-01,East Finchley Ward,17
2020-11-01,East Finchley Ward,20
2020-12-01,East Finchley Ward,15
2021-01-01,East Finchley Ward,13
2021-02-01,East Finchley Ward,13
2021-03-01,East Finchley Ward,15
2021-04-01,East Finchley Ward,14
2021-05-01,East Finchley Ward,15
2021-06-01,East Finchley Ward,13
2021-07-01,East Finchley Ward,11
2021-08-01,East Finchley Ward,13
2021-09-01,East Finchley Ward,14
2021-10-01,East Finchley Ward,17
2021-11-01,East Finchley Ward,20
2021-12-01,East Finchley Ward,15
2022-01-01,East Finchley Ward,17
2022-02-01,East Finchley Ward,15
2022-03-01,East Finchley Ward,16
2022-04-01,East Finchley Ward,12
2022-05-01,East Finchley Ward,20
2022-06-01,East Finchley Ward,14
2022-07-01,East Finchley Ward,13
2022-08-01,East Finchley Ward,16
2022-09-01,East Finchley Ward,14
2022-10-01,East Finchley Ward,13
2022-11-01,East Finchley Ward,16
2022-12-01,East Finchley Ward,13
2023-01-01,East Finchley Ward,13
2023-02-01,East Finchley Ward,15
2010-12-01,Edgware Ward,23
2011-01-01,Edgware Ward,16
2011-02-01,Edgware Ward,18
2011-03-01,Edgware Ward,17
2011-04-01,Edgware Ward,22
2011-05-01,Edgware Ward,17
2011-06-01,Edgware Ward,26
2011-07-01,Edgware Ward,20
2011-08-01,Edgware Ward,33
2011-09-01,Edgware Ward,25
2011-10-01,Edgware Ward,24
2011-11-01,Edgware Ward,31
2011-12-01,Edgware Ward,27
2012-01-01,Edgware Ward,35
2012-02-01,Edgware Ward,25
2012-03-01,Edgware Ward,17
2012-04-01,Edgware Ward,17
2012-05-01,Edgware Ward,16
2012-06-01,Edgware Ward,24
2012-07-01,Edgware Ward,19
2012-08-01,Edgware Ward,44
2012-09-01,Edgware Ward,23
2012-10-01,Edgware Ward,30
2012-11-01,Edgware Ward,23
2012-12-01,Edgware Ward,22
2013-01-01,Edgware Ward,26
2013-02-01,Edgware Ward,25
2013-03-01,Edgware Ward,20
2013-04-01,Edgware Ward,14
2013-05-01,Edgware Ward,22
2013-06-01,Edgware Ward,15
2013-07-01,Edgware Ward,26
2013-08-01,Edgware Ward,21
2013-09-01,Edgware Ward,16
2013-10-01,Edgware Ward,21
2013-11-01,Edgware Ward,20
2013-12-01,Edgware Ward,31
2014-01-01,Edgware Ward,23
2014-02-01,Edgware Ward,18
2014-03-01,Edgware Ward,17
2014-04-01,Edgware Ward,24
2014-05-01,Edgware Ward,15
2014-06-01,Edgware Ward,16
2014-07-01,Edgware Ward,18
2014-08-01,Edgware Ward,18
2014-09-01,Edgware Ward,22
2014-10-01,Edgware Ward,16
2014-11-01,Edgware Ward,20
2014-12-01,Edgware Ward,21
2015-01-01,Edgware Ward,22
2015-02-01,Edgware Ward,17
2015-03-01,Edgware Ward,17
2015-04-01,Edgware Ward,26
2015-05-01,Edgware Ward,20
2015-06-01,Edgware Ward,16
2015-07-01,Edgware Ward,24
2015-08-01,Edgware Ward,18
2015-09-01,Edgware Ward,18
2015-10-01,Edgware Ward,16
2015-11-01,Edgware Ward,22
2015-12-01,Edgware Ward,19
2016-01-01,Edgware Ward,16
2016-02-01,Edgware Ward,21
2016-03-01,Edgware Ward,17
2016-04-01,Edgware Ward,21
2016-05-01,Edgware Ward,18
2016-06-01,Edgware Ward,20
2016-07-01,Edgware Ward,15
2016-08-01,Edgware Ward,20
2016-09-01,Edgware Ward,18
2016-10-01,Edgware Ward,13
2016-11-01,Edgware Ward,21
2016-12-01,Edgware Ward,20
2017-01-01,Edgware Ward,18
2017-02-01,Edgware Ward,20
2017-03-01,Edgware Ward,24
2017-04-01,Edgware Ward,27
2017-05-01,Edgware Ward,15
2017-06-01,Edgware Ward,14
2017-07-01,Edgware Ward,15
2017-08-01,Edgware Ward,23
2017-09-01,Edgware Ward,17
2017-10-01,Edgware Ward,18
2017-11-01,Edgware Ward,20
2017-12-01,Edgware Ward,22
2018-01-01,Edgware Ward,22
2018-02-01,Edgware Ward,21
2018-03-01,Edgware Ward,25
2018-04-01,Edgware Ward,21
2018-05-01,Edgware Ward,16
2018-06-01,Edgware Ward,24
2018-07-01,Edgware Ward,17
2018-08-01,Edgware Ward,15
2018-09-01,Edgware Ward,22
2018-10-01,Edgware Ward,20
2018-11-01,Edgware Ward,23
2018-12-01,Edgware Ward,15
2019-01-01,Edgware Ward,22
2019-02-01,Edgware Ward,16
2019-03-01,Edgware Ward,27
2019-04-01,Edgware Ward,24
2019-05-01,Edgware Ward,18
2019-06-01,Edgware Ward,18
2019-07-01,Edgware Ward,18
2019-08-01,Edgware Ward,17
2019-09-01,Edgware Ward,20
2019-10-01,Edgware Ward,24
2019-11-01,Edgware Ward,17
2019-12-01,Edgware Ward,24
2020-01-01,Edgware Ward,17
2020-02-01,Edgware Ward,17
2020-03-01,Edgware Ward,17
2020-04-01,Edgware Ward,17
2020-05-01,Edgware Ward,14
2020-06-01,Edgware Ward,17
2020-07-01,Edgware Ward,13
2020-08-01,Edgware Ward,19
2020-09-01,Edgware Ward,14
2020-10-01,Edgware Ward,16
2020-11-01,Edgware Ward,15
2020-12-01,Edgware Ward,20
2021-01-01,Edgware Ward,17
2021-02-01,Edgware Ward,17
2021-03-01,Edgware Ward,17
2021-04-01,Edgware Ward,17
2021-05-01,Edgware Ward,14
2021-06-01,Edgware Ward,17
2021-07-01,Edgware Ward,13
2021-08-01,Edgware Ward,19
2021-09-01,Edgware Ward,14
2021-10-01,Edgware Ward,16
2021-11-01,Edgware Ward,15
2021-12-01,Edgware Ward,20
2022-01-01,Edgware Ward,23
2022-02-01,Edgware Ward,21
2022-03-01,Edgware Ward,27
2022-04-01,Edgware Ward,19
2022-05-01,Edgware Ward,17
2022-06-01,Edgware Ward,17
2022-07-01,Edgware Ward,19
2022-08-01,Edgware Ward,19
2022-09-01,Edgware Ward,16
2022-10-01,Edgware Ward,21
2022-11-01,Edgware Ward,16
2022-12-01,Edgware Ward,22
2023-01-01,Edgware Ward,15
2023-02-01,Edgware Ward,20
2010-12-01,Edgwarebury Ward,20
2011-01-01,Edgwarebury Ward,19
2011-02-01,Edgwarebury Ward,16
2011-03-01,Edgwarebury Ward,17
2011-04-01,Edgwarebury Ward,13
2011-05-01,Edgwarebury Ward,15
2011-06-01,Edgwarebury Ward,14
2011-07-01,Edgwarebury Ward,14
2011-08-01,Edgwarebury Ward,13
2011-09-01,Edgwarebury Ward,13
2011-10-01,Edgwarebury Ward,12
2011-11-01,Edgwarebury Ward,21
2011-12-01,Edgwarebury Ward,21
2012-01-01,Edgwarebury Ward,20
2012-02-01,Edgwarebury Ward,19
2012-03-01,Edgwarebury Ward,13
2012-04-01,Edgwarebury Ward,10
2012-05-01,Edgwarebury Ward,9
2012-06-01,Edgwarebury Ward,13
2012-07-01,Edgwarebury Ward,17
2012-08-01,Edgwarebury Ward,16
2012-09-01,Edgwarebury Ward,11
2012-10-01,Edgwarebury Ward,12
